locus_tag	ftype	length_bp	gene	EC_number	COG	product
EMKCLNIH_00177	CDS	1410				hypothetical protein
EMKCLNIH_00178	CDS	834	lptB_1	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
EMKCLNIH_00179	CDS	708	livF_1		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
EMKCLNIH_00180	CDS	2094	fadB_1			Fatty acid oxidation complex subunit alpha
EMKCLNIH_00181	CDS	1176	fadA_1	2.3.1.16	COG0183	3-ketoacyl-CoA thiolase
EMKCLNIH_00182	CDS	1833	dmdC_1	1.3.8.-	COG1960	3-methylmercaptopropionyl-CoA dehydrogenase
EMKCLNIH_00183	CDS	792	gno_1	1.1.1.-		Gluconate 5-dehydrogenase
EMKCLNIH_00184	CDS	459				hypothetical protein
EMKCLNIH_00185	CDS	1020	yfmJ	1.-.-.-	COG2130	Putative NADP-dependent oxidoreductase YfmJ
EMKCLNIH_00186	CDS	486				hypothetical protein
EMKCLNIH_00187	CDS	954				hypothetical protein
EMKCLNIH_00188	CDS	906	sadH	1.-.-.-		Putative oxidoreductase SadH
EMKCLNIH_00189	CDS	1110	ascG		COG1609	HTH-type transcriptional regulator AscG
EMKCLNIH_00190	CDS	1086	btuD_1	3.6.3.33		Vitamin B12 import ATP-binding protein BtuD
EMKCLNIH_00191	CDS	948	araQ_1		COG0395	L-arabinose transport system permease protein AraQ
EMKCLNIH_00192	CDS	918				hypothetical protein
EMKCLNIH_00193	CDS	1233				putative sugar-binding periplasmic protein
EMKCLNIH_00194	CDS	1317	bglA	3.2.1.21		Beta-glucosidase A
EMKCLNIH_00195	CDS	1122				hypothetical protein
EMKCLNIH_00196	CDS	1161				hypothetical protein
EMKCLNIH_00197	CDS	1026	gpr_1	1.1.1.-	COG0667	L-glyceraldehyde 3-phosphate reductase
EMKCLNIH_00198	CDS	1434				hypothetical protein
EMKCLNIH_00199	CDS	912	dmlR_2			HTH-type transcriptional regulator DmlR
EMKCLNIH_00200	CDS	753	baiA_1	1.1.1.392		3-alpha-hydroxycholanate dehydrogenase (NADP(+))
EMKCLNIH_00201	CDS	789				hypothetical protein
EMKCLNIH_00202	CDS	1953	nfdA	3.5.1.91		N-substituted formamide deformylase
EMKCLNIH_00203	CDS	678				hypothetical protein
EMKCLNIH_00204	CDS	3123				hypothetical protein
EMKCLNIH_00205	CDS	183				hypothetical protein
EMKCLNIH_00206	CDS	807	pytH_1	3.1.1.88		Pyrethroid hydrolase
EMKCLNIH_00207	CDS	168				hypothetical protein
EMKCLNIH_00208	CDS	243				hypothetical protein
EMKCLNIH_00209	CDS	654	ycaC_1	4.-.-.-	COG1335	putative hydrolase YcaC
EMKCLNIH_00210	CDS	897	dhaA	3.8.1.5		Haloalkane dehalogenase
EMKCLNIH_00211	CDS	387				hypothetical protein
EMKCLNIH_00212	CDS	870				hypothetical protein
EMKCLNIH_00213	CDS	588	degU_1		COG2197	Transcriptional regulatory protein DegU
EMKCLNIH_00214	CDS	1683				hypothetical protein
EMKCLNIH_00215	CDS	867	fpaP_1	3.4.11.5		Proline iminopeptidase
EMKCLNIH_00216	CDS	966	dhaAF	3.8.1.5		Haloalkane dehalogenase
EMKCLNIH_00217	CDS	1983	pepO_1	3.4.24.-	COG3590	Neutral endopeptidase
EMKCLNIH_00218	CDS	741	degU_2		COG2197	Transcriptional regulatory protein DegU
EMKCLNIH_00219	CDS	3084				hypothetical protein
EMKCLNIH_00220	CDS	2856				hypothetical protein
EMKCLNIH_00221	CDS	2292	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
EMKCLNIH_00222	CDS	657	tmoT_1			Response regulator protein TmoT
EMKCLNIH_00223	CDS	198				hypothetical protein
EMKCLNIH_00224	CDS	747	speE_1	2.5.1.16		Polyamine aminopropyltransferase
EMKCLNIH_00225	CDS	1416	ifcA	1.3.5.4	COG1053	Fumarate reductase flavoprotein subunit
EMKCLNIH_00226	CDS	1173				hypothetical protein
EMKCLNIH_00227	CDS	579	pgrR_2			HTH-type transcriptional regulator PgrR
EMKCLNIH_00228	CDS	204				hypothetical protein
EMKCLNIH_00229	CDS	897	pgrR_3			HTH-type transcriptional regulator PgrR
EMKCLNIH_00230	CDS	1059	yahK_1	1.1.1.2	COG1064	Aldehyde reductase YahK
EMKCLNIH_00231	CDS	537	iorA_1	1.3.99.16		Isoquinoline 1-oxidoreductase subunit alpha
EMKCLNIH_00232	CDS	2262	iorB_1	1.3.99.16		Isoquinoline 1-oxidoreductase subunit beta
EMKCLNIH_00233	CDS	1380		1.1.99.3		Gluconate 2-dehydrogenase cytochrome c subunit
EMKCLNIH_00234	CDS	147				hypothetical protein
EMKCLNIH_00235	CDS	192				hypothetical protein
EMKCLNIH_00236	CDS	444				hypothetical protein
EMKCLNIH_00237	CDS	1215	yfcJ_1			putative MFS-type transporter YfcJ
EMKCLNIH_00238	CDS	915	pgrR_4			HTH-type transcriptional regulator PgrR
EMKCLNIH_00239	CDS	168				hypothetical protein
EMKCLNIH_00240	CDS	546				hypothetical protein
EMKCLNIH_00241	CDS	744				hypothetical protein
EMKCLNIH_00242	CDS	642				hypothetical protein
EMKCLNIH_00243	CDS	1119			COG1073	putative protein
EMKCLNIH_00244	CDS	744		1.-.-.-		putative oxidoreductase
EMKCLNIH_00245	CDS	1140				hypothetical protein
EMKCLNIH_00246	CDS	672				hypothetical protein
EMKCLNIH_00247	CDS	1218	yliI	1.1.5.-	COG2133	Aldose sugar dehydrogenase YliI
EMKCLNIH_00248	CDS	1164			COG2220	putative protein
EMKCLNIH_00249	CDS	822				hypothetical protein
EMKCLNIH_00250	CDS	993	yagS_1	1.17.1.4	COG1319	Putative xanthine dehydrogenase YagS FAD-binding subunit
EMKCLNIH_00251	CDS	2187	yagR_1	1.17.1.4	COG1529	Putative xanthine dehydrogenase YagR molybdenum-binding subunit
EMKCLNIH_00252	CDS	876	pdxI_1	1.1.1.65		Pyridoxine 4-dehydrogenase
EMKCLNIH_00253	CDS	624				hypothetical protein
EMKCLNIH_00254	tRNA	88				tRNA-Ser(cga)
EMKCLNIH_00255	CDS	4122	rapA	3.6.4.-		RNA polymerase-associated protein RapA
EMKCLNIH_00256	CDS	279				hypothetical protein
EMKCLNIH_00257	CDS	429				hypothetical protein
EMKCLNIH_00258	CDS	825	ycfH	3.1.-.-	COG0084	putative metal-dependent hydrolase YcfH
EMKCLNIH_00259	CDS	663				hypothetical protein
EMKCLNIH_00260	CDS	225				hypothetical protein
EMKCLNIH_00261	CDS	114				hypothetical protein
EMKCLNIH_00262	CDS	768	nat	2.3.1.5	COG2162	Arylamine N-acetyltransferase
EMKCLNIH_00263	CDS	750	cpnA_1	1.1.1.163		Cyclopentanol dehydrogenase
EMKCLNIH_00264	CDS	921	yhaJ_2			HTH-type transcriptional regulator YhaJ
EMKCLNIH_00265	CDS	969				hypothetical protein
EMKCLNIH_00266	CDS	507				hypothetical protein
EMKCLNIH_00267	CDS	966				hypothetical protein
EMKCLNIH_00268	CDS	2742	acn	4.2.1.3	COG1048	Aconitate hydratase A
EMKCLNIH_00269	CDS	2193	glgX	3.2.1.-	COG1523	Glycogen operon protein GlgX 
EMKCLNIH_00270	CDS	252				hypothetical protein
EMKCLNIH_00271	CDS	663	estB	3.1.1.1	COG0400	Carboxylesterase 2
EMKCLNIH_00272	CDS	552	btuE	1.11.1.15	COG0386	Thioredoxin/glutathione peroxidase BtuE
EMKCLNIH_00273	tRNA	93				tRNA-Ser(gct)
EMKCLNIH_00274	CDS	1290		2.7.2.4	COG0527	Aspartate kinase
EMKCLNIH_00275	CDS	1347	tilS	6.3.4.19	COG0037	tRNA(Ile)-lysidine synthase
EMKCLNIH_00276	CDS	972	accA	6.4.1.2	COG0825	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
EMKCLNIH_00277	CDS	654	alkA	3.2.2.21	COG0122	DNA-3-methyladenine glycosylase
EMKCLNIH_00278	CDS	1377	cysS	6.1.1.16	COG0215	Cysteine--tRNA ligase
EMKCLNIH_00279	CDS	603	ppiA_1	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase A
EMKCLNIH_00280	CDS	504		5.2.1.8		Peptidyl-prolyl cis-trans isomerase cyp18
EMKCLNIH_00281	CDS	762	lpxH_1	3.6.1.54	COG2908	UDP-2,3-diacylglucosamine hydrolase
EMKCLNIH_00282	CDS	783	mtfA_1		COG3228	Protein MtfA
EMKCLNIH_00283	CDS	2313	clpA		COG0542	ATP-dependent Clp protease ATP-binding subunit ClpA
EMKCLNIH_00284	CDS	360	clpS_1			ATP-dependent Clp protease adapter protein ClpS
EMKCLNIH_00285	CDS	240	cspD		COG1278	Cold shock-like protein CspD
EMKCLNIH_00286	CDS	1182	zraR_1		COG2204	Transcriptional regulatory protein ZraR
EMKCLNIH_00287	CDS	1254	icd_1	1.1.1.42		Isocitrate dehydrogenase [NADP]
EMKCLNIH_00288	CDS	480				hypothetical protein
EMKCLNIH_00289	CDS	585		1.15.1.1		Superoxide dismutase [Fe]
EMKCLNIH_00290	CDS	528				IS3 family transposase ISAzo10
EMKCLNIH_00291	CDS	264				hypothetical protein
EMKCLNIH_00292	CDS	237				hypothetical protein
EMKCLNIH_00293	CDS	156				hypothetical protein
EMKCLNIH_00294	CDS	297				hypothetical protein
EMKCLNIH_00295	CDS	432	mhpT			3-(3-hydroxy-phenyl)propionate transporter
EMKCLNIH_00296	CDS	1110	gutB	1.1.1.14	COG1063	Sorbitol dehydrogenase
EMKCLNIH_00297	CDS	1431	aldHT_1	1.2.1.5		Aldehyde dehydrogenase, thermostable
EMKCLNIH_00298	CDS	1569	mhpA_1	1.14.13.127	COG0654	3-(3-hydroxy-phenyl)propionate/3-hydroxycinnamic acid hydroxylase
EMKCLNIH_00299	CDS	402				hypothetical protein
EMKCLNIH_00300	CDS	543				hypothetical protein
EMKCLNIH_00301	CDS	543				hypothetical protein
EMKCLNIH_00302	CDS	582				hypothetical protein
EMKCLNIH_00303	CDS	861				hypothetical protein
EMKCLNIH_00304	CDS	507				hypothetical protein
EMKCLNIH_00305	CDS	354				IS3 family transposase ISXca1
EMKCLNIH_00306	CDS	450				hypothetical protein
EMKCLNIH_00307	CDS	351				IS66 family transposase IS1313
EMKCLNIH_00308	CDS	1509				hypothetical protein
EMKCLNIH_00309	CDS	1116	adhT_1	1.1.1.1		Alcohol dehydrogenase
EMKCLNIH_00310	CDS	885	hcf136_1			Ycf48-like protein
EMKCLNIH_00311	CDS	1365				putative protein
EMKCLNIH_00312	CDS	1659				hypothetical protein
EMKCLNIH_00313	CDS	378				hypothetical protein
EMKCLNIH_00314	CDS	2436				hypothetical protein
EMKCLNIH_00315	CDS	1668	mhpA_2	1.14.13.127	COG0654	3-(3-hydroxy-phenyl)propionate/3-hydroxycinnamic acid hydroxylase
EMKCLNIH_00316	CDS	507	tdh_1	1.1.1.103		L-threonine 3-dehydrogenase
EMKCLNIH_00317	CDS	282				hypothetical protein
EMKCLNIH_00318	CDS	960	pobB_1	1.-.-.-		Phenoxybenzoate dioxygenase subunit beta
EMKCLNIH_00319	CDS	1278	pobA_1	1.14.12.-		Phenoxybenzoate dioxygenase subunit alpha
EMKCLNIH_00320	CDS	717	rspR_1		COG1802	HTH-type transcriptional repressor RspR
EMKCLNIH_00321	tRNA	77				tRNA-Met(cat)
EMKCLNIH_00322	CDS	651	vraR_1		COG2197	Response regulator protein VraR
EMKCLNIH_00323	CDS	3108	vgb_1	4.2.99.-		Virginiamycin B lyase
EMKCLNIH_00324	CDS	738				hypothetical protein
EMKCLNIH_00325	CDS	957		1.3.1.103		2-haloacrylate reductase
EMKCLNIH_00326	CDS	774	ycdF	1.1.1.47	COG1028	Glucose 1-dehydrogenase 2
EMKCLNIH_00327	CDS	432				hypothetical protein
EMKCLNIH_00328	CDS	777	lvr	1.1.1.-		Levodione reductase
EMKCLNIH_00329	CDS	891	allS			HTH-type transcriptional activator AllS
EMKCLNIH_00330	CDS	894				hypothetical protein
EMKCLNIH_00331	CDS	444	yphA		COG2259	Inner membrane protein YphA
EMKCLNIH_00332	CDS	795				hypothetical protein
EMKCLNIH_00333	CDS	438				hypothetical protein
EMKCLNIH_00334	CDS	1494				hypothetical protein
EMKCLNIH_00335	CDS	399				hypothetical protein
EMKCLNIH_00336	CDS	294				hypothetical protein
EMKCLNIH_00337	CDS	762	rhaS_1			HTH-type transcriptional activator RhaS
EMKCLNIH_00338	CDS	969	rhaS_2			HTH-type transcriptional activator RhaS
EMKCLNIH_00339	CDS	375				hypothetical protein
EMKCLNIH_00340	CDS	351				hypothetical protein
EMKCLNIH_00341	CDS	906	rhaR_1			HTH-type transcriptional activator RhaR
EMKCLNIH_00342	CDS	747		1.-.-.-		putative oxidoreductase
EMKCLNIH_00343	CDS	603		1.6.5.2		NAD(P)H dehydrogenase (quinone)
EMKCLNIH_00344	CDS	738	malT			HTH-type transcriptional regulator MalT
EMKCLNIH_00345	CDS	747	yehW		COG1174	Glycine betaine uptake system permease protein YehW
EMKCLNIH_00346	CDS	933	yehX	3.6.3.-	COG1125	Glycine betaine uptake system ATP-binding protein YehX
EMKCLNIH_00347	CDS	1173	yehY		COG1174	Glycine betaine uptake system permease protein YehY
EMKCLNIH_00348	CDS	939	yehZ		COG1732	Glycine betaine-binding protein YehZ
EMKCLNIH_00349	CDS	783				hypothetical protein
EMKCLNIH_00350	CDS	807				hypothetical protein
EMKCLNIH_00351	CDS	708	dnaQ	2.7.7.7	COG0847	DNA polymerase III subunit epsilon
EMKCLNIH_00352	tRNA	75				tRNA-Val(cac)
EMKCLNIH_00353	CDS	4077				hypothetical protein
EMKCLNIH_00354	CDS	639	uvrY_1		COG2197	Response regulator UvrY
EMKCLNIH_00355	CDS	1083	rpfG	3.1.4.-	COG3437	Cyclic di-GMP phosphodiesterase response regulator RpfG
EMKCLNIH_00356	CDS	528				hypothetical protein
EMKCLNIH_00357	CDS	2679	rcsC_2	2.7.13.3		Sensor histidine kinase RcsC
EMKCLNIH_00358	CDS	1251				hypothetical protein
EMKCLNIH_00359	CDS	1038	rhaS_3			HTH-type transcriptional activator RhaS
EMKCLNIH_00360	CDS	1563				hypothetical protein
EMKCLNIH_00361	CDS	225				hypothetical protein
EMKCLNIH_00362	CDS	1722	ppdK	2.7.9.1	COG0574	Pyruvate, phosphate dikinase
EMKCLNIH_00363	CDS	1944				hypothetical protein
EMKCLNIH_00364	CDS	225				hypothetical protein
EMKCLNIH_00365	CDS	945				Putative NAD(P)H nitroreductase
EMKCLNIH_00366	CDS	2334	dap_2	3.4.11.19		D-aminopeptidase
EMKCLNIH_00367	CDS	1227				hypothetical protein
EMKCLNIH_00368	CDS	681				hypothetical protein
EMKCLNIH_00369	CDS	588				hypothetical protein
EMKCLNIH_00370	CDS	222	adhA	1.1.1.1	COG1064	putative alcohol dehydrogenase AdhA
EMKCLNIH_00371	CDS	717	nth	4.2.99.18	COG0177	Endonuclease III
EMKCLNIH_00372	CDS	714	rsxB			Electron transport complex subunit RsxB
